/
'12DGR120tipp                  '130.08317
'12DGR140tipp                  '130.08317
'12DGR141tipp                  '130.08317
'12DGR160tipp                  '130.08317
'12DGR161tipp                  '130.08317
'12DGR180tipp                  '130.08317
'12DGR181tipp                  '130.08317
'12PPDRtex_f                   '  0.00000
'12PPDRtex_b                   '  0.00000
'12PPDRtpp_f                   '  0.00000
'12PPDRtpp_b                   '  0.00000
'12PPDStex_f                   '  0.00000
'12PPDStex_b                   '  0.00000
'12PPDStpp_f                   '  0.00000
'12PPDStpp_b                   '  0.00000
'14GLUCANabcpp                 '  0.00000
'14GLUCANtexi                  '  0.00000
'23CAMPtex_f                   '  0.00000
'23CAMPtex_b                   '  0.00000
'23CCMPtex_f                   '  0.00000
'23CCMPtex_b                   '  0.00000
'23CGMPtex_f                   '  0.00000
'23CGMPtex_b                   '  0.00000
'23CUMPtex_f                   '  0.00000
'23CUMPtex_b                   '  0.00000
'23DAPPAt2pp                   '  0.00000
'23DAPPAtex_f                  '  0.00000
'23DAPPAtex_b                  '  0.00000
'23PDE2pp                      '  0.00000
'23PDE4pp                      '  0.00000
'23PDE7pp                      '  0.00000
'23PDE9pp                      '  0.00000
'26DAHtex_f                    '  0.00000
'26DAHtex_b                    '  0.00000
'2AGPA120tipp                  ' 68.86756
'2AGPA140tipp                  ' 68.86756
'2AGPA141tipp                  ' 68.86756
'2AGPA160tipp                  ' 68.86756
'2AGPA161tipp                  ' 68.86756
'2AGPA180tipp                  ' 68.86756
'2AGPA181tipp                  ' 68.86756
'2AGPE120tipp                  ' 97.56238
'2AGPE140tipp                  ' 97.56238
'2AGPE141tipp                  ' 97.56238
'2AGPE160tipp                  ' 97.56238
'2AGPE161tipp                  ' 97.56238
'2AGPE180tipp                  ' 97.56238
'2AGPE181tipp                  ' 97.56238
'2AGPEAT120                    ' 97.56238
'2AGPEAT140                    ' 97.56238
'2AGPEAT141                    ' 97.56238
'2AGPEAT160                    ' 97.56238
'2AGPEAT161                    ' 97.56238
'2AGPEAT180                    ' 97.56238
'2AGPEAT181                    ' 97.56238
'2AGPG120tipp                  ' 97.56238
'2AGPG140tipp                  ' 97.56238
'2AGPG141tipp                  ' 97.56238
'2AGPG160tipp                  ' 97.56238
'2AGPG161tipp                  ' 97.56238
'2AGPG180tipp                  ' 97.56238
'2AGPG181tipp                  ' 97.56238
'2AGPGAT120                    ' 97.56238
'2AGPGAT140                    ' 97.56238
'2AGPGAT141                    ' 97.56238
'2AGPGAT160                    ' 97.56238
'2AGPGAT161                    ' 97.56238
'2AGPGAT180                    ' 97.56238
'2AGPGAT181                    ' 97.56238
'2DGLCNRx                      '  0.00000
'2DGLCNRy                      '  0.00000
'2DGULRx                       '  0.00000
'2DGULRy                       '  0.00000
'2MAHMP                        '292.68713
'34dhpactex_f                  '  0.00000
'34dhpactex_b                  '  0.00000
'3AMPtex_f                     '  0.00000
'3AMPtex_b                     '  0.00000
'3CMPtex_f                     '  0.00000
'3CMPtex_b                     '  0.00000
'3GMPtex_f                     '  0.00000
'3GMPtex_b                     '  0.00000
'3HAD100                       ' 17.60568
'3HAD120                       ' 17.56136
'3HAD121                       '  5.52802
'3HAD140                       '  2.95823
'3HAD141                       '  5.52802
'3HAD160                       '  0.39528
'3HAD161                       '  2.88855
'3HAD180                       '  0.00000
'3HAD181                       '  0.15163
'3HAD40                        ' 17.60568
'3HAD60                        ' 17.60568
